-,-,-
128, -162, 930
185, -187, 1046
139, -180, 1049
139, -180, 1049
155, -237, 1035
156, -383, 1196
195, -543, 1493
213, -637, 1701
239, -700, 1785
208, -792, 1577
110, -852, 1455
47, -837, 1377
-6, -861, 1332
-14, -993, 1145
-46, -1164, 740
-46, -1164, 740
42, -1280, 492
120, -1258, 489
78, -1235, 201
176, -1270, -184
251, -1360, -355
259, -1424, -513
271, -1347, -509
278, -1235, -419
186, -1101, -461
102, -988, -552
49, -867, -499
-60, -691, -371
-140, -504, -190
-166, -327, 57
-160, -273, 93
-160, -273, 93
-194, -205, 188
-194, -42, 480
-159, 75, 760
-160, 158, 898
-165, 261, 976
-40, 311, 1029
51, 230, 1035
51, 230, 1035
121, 25, 976
212, -135, 986
204, -138, 1088
200, -28, 1159
218, 133, 1460
213, 182, 1738
213, 182, 1738
202, 83, 1861
133, -291, 1726
-,-,-
101, -61, 976
206, -136, 982
128, -225, 1155
131, -242, 1433
131, -242, 1433
110, -239, 1503
109, -319, 1445
114, -364, 1386
94, -402, 1446
135, -495, 1425
153, -666, 1327
133, -780, 1150
130, -921, 885
129, -1170, 657
129, -1460, 540
134, -1582, 449
133, -1552, 310
133, -1552, 310
140, -1432, 138
177, -1305, -56
217, -1191, -50
200, -1075, -105
201, -1067, -239
187, -1111, -403
138, -1017, -305
90, -895, -224
66, -817, -159
34, -739, -116
17, -609, -48
-26, -534, -59
-26, -534, -59
-108, -466, -19
-140, -355, 108
-149, -210, 316
-144, -9, 530
-98, 188, 820
21, 260, 916
21, 260, 916
107, 213, 913
153, 109, 931
199, -2, 948
289, -122, 1137
-,-,-
-10, -89, 968
-10, -89, 968
38, 38, 1031
40, 91, 1213
-56, 120, 1493
-146, 81, 1682
-146, 81, 1682
-173, -89, 1696
-133, -195, 1817
-123, -268, 1803
-79, -375, 1794
-101, -510, 1684
-189, -581, 1533
-222, -603, 1401
-286, -756, 1338
-340, -873, 1240
-363, -916, 1179
-331, -1086, 915
-240, -1171, 624
-216, -1164, 363
-127, -1120, 271
-24, -1029, 11
39, -977, -78
24, -920, -128
28, -814, -81
28, -814, -81
29, -586, -51
-4, -415, 21
-20, -336, 76
-87, -233, 168
-149, -121, 275
-149, -121, 275
-206, 18, 376
-215, 212, 431
-163, 467, 505
-115, 730, 688
-30, 837, 886
-36, 838, 1127
10, 838, 1502
-,-,-
65, 417, 801
49, 380, 911
11, 321, 1029
-4, 247, 1147
12, 189, 1227
12, 189, 1227
34, 150, 1273
41, 51, 1214
31, -17, 1247
-2, -102, 1356
-5, -267, 1391
-5, -267, 1391
-49, -423, 1487
-106, -552, 1510
-66, -770, 1466
-26, -947, 1479
-40, -999, 1474
-40, -891, 1427
8, -834, 1296
160, -886, 1094
238, -965, 951
225, -1000, 644
225, -1000, 644
234, -908, 485
189, -841, 534
112, -755, 558
90, -761, 414
81, -841, 303
70, -872, 287
70, -872, 287
-7, -777, 345
-82, -598, 339
-98, -424, 239
-57, -248, 66
-42, -182, 84
-42, -182, 84
-1, -92, 268
52, 10, 403
153, 221, 500
205, 439, 571
205, 439, 571
179, 569, 615
203, 521, 769
351, 234, 870
408, 69, 1219
335, 142, 1277
335, 142, 1277
304, 295, 1088
388, 467, 905
-,-,-
86, -36, 1139
94, -122, 1460
94, -122, 1460
73, -195, 1562
11, -225, 1711
-22, -236, 1801
-29, -422, 1744
-41, -679, 1855
-121, -813, 1874
-175, -853, 1560
-194, -882, 1201
-205, -970, 1029
-246, -1093, 864
-232, -1180, 710
-144, -1372, 463
-36, -1469, 338
-21, -1400, 330
-26, -1264, 181
-12, -1116, -4
-12, -1116, -4
17, -1031, -170
69, -938, -267
94, -809, -308
86, -609, -299
45, -407, -269
16, -319, -268
-5, -235, -203
-5, -235, -203
-21, -158, -89
-2, -49, 52
22, 77, 196
14, 167, 371
14, 167, 371
89, 258, 439
190, 360, 582
162, 386, 925
112, 350, 1366
112, 350, 1366
143, 252, 1683
183, 131, 1910
148, 13, 1998
-,-,-
124, 92, 1007
152, 28, 1225
152, 28, 1225
137, 11, 1271
143, -41, 1338
192, -183, 1245
152, -345, 1270
47, -484, 1428
-19, -625, 1502
-42, -830, 1522
-42, -830, 1522
-37, -1041, 1488
-53, -1200, 1413
-102, -1294, 1262
-114, -1372, 1074
-119, -1355, 811
-70, -1312, 620
-16, -1359, 446
20, -1377, 447
28, -1307, 399
36, -1245, 238
101, -1151, 41
134, -986, -129
152, -832, -283
186, -713, -366
215, -643, -331
190, -548, -216
190, -548, -216
143, -420, -140
143, -299, -127
206, -210, -117
201, -125, -20
140, -42, 140
88, 51, 226
104, 163, 262
104, 163, 262
167, 303, 384
187, 454, 552
259, 492, 668
338, 397, 857
338, 397, 857
433, 213, 1166
463, -37, 1497
418, -227, 1774
346, -340, 1970
279, -470, 1998
-,-,-
141, 10, 1003
243, -55, 1108
198, -135, 1278
217, -252, 1394
159, -364, 1477
159, -364, 1477
45, -468, 1608
3, -593, 1576
-13, -816, 1520
14, -1068, 1381
20, -1278, 1207
28, -1480, 1135
-37, -1513, 1067
-71, -1337, 743
-36, -1096, 515
70, -1079, 575
105, -1159, 618
105, -1159, 618
95, -1244, 532
87, -1199, 248
179, -1101, -148
269, -948, -322
153, -821, -105
140, -755, 52
171, -723, 60
220, -631, -69
220, -631, -69
247, -491, -170
228, -266, -108
246, -79, -126
253, -28, -174
233, -63, -84
173, -14, 139
169, 87, 354
169, 87, 354
197, 177, 480
267, 301, 594
311, 359, 718
386, 235, 906
386, 235, 906
439, 15, 1155
381, -123, 1627
201, -139, 1994
-,-,-
131, 14, 1228
238, -66, 1291
185, -125, 1485
84, -147, 1642
-26, -309, 1643
-2, -600, 1609
-2, -600, 1609
15, -873, 1563
-63, -1089, 1534
-97, -1197, 1498
-141, -1242, 1325
-142, -1249, 984
-90, -1164, 786
-30, -1091, 593
-6, -1116, 631
6, -1103, 660
48, -1128, 414
78, -1158, 244
127, -1099, 83
127, -1099, 83
170, -1007, -54
211, -925, -157
248, -854, -119
222, -796, -77
213, -720, -83
206, -583, -71
179, -399, -12
214, -243, -70
214, -243, -70
270, -98, -112
247, 21, -55
184, 80, 96
119, 170, 272
119, 170, 272
199, 372, 461
245, 587, 732
205, 627, 886
156, 587, 975
254, 504, 1152
254, 504, 1152
299, 349, 1445
-,-,-
68, 222, 1144
90, 267, 1294
98, 163, 1354
122, -41, 1468
27, -216, 1596
-96, -331, 1726
-108, -544, 1802
-102, -770, 1708
-163, -942, 1497
-180, -1218, 1328
-146, -1500, 1213
-198, -1606, 1103
-215, -1445, 944
-189, -1246, 734
-163, -1195, 584
-162, -1319, 621
-176, -1352, 661
-182, -1235, 515
-66, -1170, 282
-4, -1088, 23
-4, -1088, 23
10, -838, -111
75, -715, -122
107, -706, -76
99, -620, 31
93, -462, 55
93, -462, 55
128, -243, -77
175, -52, -188
203, 82, -159
161, 246, -7
161, 246, -7
72, 446, 274
114, 628, 469
