-,-,-
1, -390, 113
87, -406, 69
-41, -327, 79
-41, -327, 79
-44, -272, -2
-32, -248, 0
-10, -299, -11
-20, -395, -4
-6, -457, 188
-6, -457, 188
20, -470, 632
77, -576, 1029
1, -729, 1183
-105, -871, 1495
-184, -1085, 1744
-289, -1436, 1903
-410, -1611, 1998
-360, -1590, 1997
-299, -1449, 1954
-251, -1171, 1725
-180, -900, 1580
-129, -711, 1503
-132, -520, 1417
-130, -358, 1317
-91, -235, 1107
5, 1, 910
-,-,-
219, -341, -231
202, -520, -336
120, -610, -118
46, -708, 61
46, -708, 61
-75, -740, 55
-181, -726, -12
-252, -707, -24
-273, -608, 320
-276, -404, 854
-253, -228, 1152
-199, -109, 1372
-229, -192, 1700
-291, -444, 1913
-354, -771, 1994
-432, -1093, 1998
-545, -1416, 1998
-560, -1678, 1998
-598, -1939, 1998
-607, -1835, 1998
-540, -1351, 1829
-433, -838, 1378
-290, -456, 982
-224, -111, 948
-125, 87, 992
-62, 278, 805
-62, 278, 805
57, 246, 506
121, 267, 236
215, 336, 211
280, 347, 199
280, 347, 199
-,-,-
15, -626, -217
12, -773, -269
-80, -735, 15
-80, -735, 229
-103, -662, 229
-71, -594, 357
-60, -546, 705
-158, -533, 1297
-323, -608, 1711
-364, -695, 1729
-295, -649, 1776
-233, -575, 1859
-188, -518, 1841
-144, -514, 1697
-84, -664, 1539
-141, -1062, 1496
-312, -1757, 1533
-413, -1998, 1525
-366, -1750, 1545
-284, -1086, 1402
-244, -695, 1171
-215, -740, 1103
-71, -419, 1034
74, 151, 934
159, 431, 834
266, 563, 763
266, 563, 763
386, 495, 570
456, 345, 304
494, 226, 54
-,-,-
195, -483, -118
165, -353, -83
16, -500, -128
-166, -824, 256
-213, -1019, 772
-215, -991, 1005
-211, -757, 942
-191, -564, 1060
-156, -429, 1196
-155, -372, 1547
-200, -603, 1601
-225, -848, 1638
-257, -1026, 1870
-314, -1119, 1745
-394, -1389, 1681
-485, -1928, 1701
