-,-,-
446, -70, 539
477, -7, 433
414, 10, 443
398, 2, 599
398, 2, 599
357, 124, 740
284, 239, 717
249, 394, 585
249, 394, 585
222, 602, 548
256, 779, 500
333, 794, 576
186, 597, 649
-42, 315, 692
-42, 315, 692
-228, -106, 860
-411, -545, 1215
-637, -979, 1423
-824, -1408, 1588
-919, -1830, 1771
-915, -1964, 1767
-885, -1927, 1591
-880, -1824, 1314
-796, -1690, 919
-642, -1408, 634
-464, -958, 509
-348, -671, 633
-256, -345, 919
-,-,-
364, 397, -5
325, 513, 112
245, 442, 106
176, 469, 93
176, 469, 93
189, 595, 335
95, 644, 449
81, 720, 371
155, 794, 493
155, 794, 493
163, 791, 775
-69, 479, 947
-327, -13, 1075
-496, -522, 1310
-636, -1051, 1551
-730, -1294, 1641
-725, -1405, 1600
-694, -1546, 1399
-666, -1661, 1257
-680, -1749, 999
-714, -1768, 795
-756, -1736, 717
-753, -1624, 611
-654, -1376, 457
-541, -997, 458
-450, -654, 708
-415, -235, 995
-266, 321, 1258
-173, 833, 1582
-148, 1063, 1714
-,-,-
460, 528, 153
386, 366, -224
238, 448, -453
238, 448, -453
231, 787, -39
231, 846, 325
148, 728, 474
62, 642, 300
107, 627, 268
107, 627, 268
178, 566, 533
105, 498, 741
-124, 340, 657
-290, -32, 749
-516, -501, 1028
-681, -831, 1143
-768, -1170, 1282
-950, -1725, 1296
-1150, -1998, 1339
-1207, -1998, 1501
-1210, -1998, 1510
-1103, -1873, 1364
-921, -1496, 1122
-829, -1196, 793
-746, -761, 668
-577, -254, 780
-440, 114, 883
-220, 419, 1053
-,-,-
266, 417, -17
336, 686, -98
383, 842, -49
356, 820, 214
356, 820, 214
191, 727, 271
-35, 615, 251
-186, 426, 490
-295, 254, 1114
-522, -17, 1422
-670, -433, 1349
-742, -871, 1322
-822, -1422, 1329
-860, -1696, 1414
-857, -1825, 1477
-853, -1883, 1412
-893, -1919, 1220
-942, -1861, 999
-946, -1700, 851
-898, -1388, 691
-716, -1003, 649
-587, -574, 747
-449, -58, 938
-224, 507, 1219
-224, 507, 1460
60, 975, 1460
193, 1209, 1568
185, 1013, 1522
-,-,-
264, 327, 387
395, 402, 177
343, 526, -84
280, 672, -74
280, 672, -74
197, 828, 81
155, 892, 233
182, 962, 303
194, 1066, 489
194, 1066, 489
95, 873, 651
-152, 441, 720
-426, -100, 755
-574, -487, 908
-672, -868, 1182
-849, -1320, 1259
-950, -1679, 1234
-1002, -1891, 1245
-1003, -1987, 1379
-1013, -1986, 1338
-1008, -1809, 1105
-950, -1523, 1008
-878, -1178, 946
-779, -868, 743
-681, -436, 869
-565, 133, 1199
-353, 768, 1490
-51, 1082, 1623
-,-,-
407, 442, 405
442, 438, 140
419, 411, -4
382, 543, 153
382, 543, 153
273, 633, 279
130, 624, 292
19, 685, 241
-49, 702, 239
-72, 644, 314
-72, 644, 314
-81, 501, 342
-153, 401, 470
-304, 104, 738
-441, -360, 1163
-630, -849, 1537
-821, -1260, 1808
-883, -1582, 1791
-960, -1937, 1586
-1025, -1998, 1228
-1022, -1998, 1053
-970, -1953, 957
-831, -1583, 834
-650, -1112, 685
-592, -696, 716
-539, -232, 807
-418, 432, 1204
-234, 1191, 1676
12, 1442, 1582
217, 1379, 1230
-,-,-
270, 528, 96
270, 528, 96
257, 507, 38
202, 627, 115
175, 798, 142
179, 870, 237
179, 870, 237
133, 870, 277
103, 883, 246
111, 857, 284
49, 829, 580
-224, 590, 917
-224, 590, 917
-604, -113, 964
-946, -1065, 1065
-1111, -1677, 1418
-1122, -1989, 1669
-1102, -1998, 1642
-973, -1995, 1149
-923, -1820, 779
-779, -1488, 632
-658, -1088, 546
-620, -676, 609
-620, -676, 609
-610, -264, 904
-483, 159, 1158
-298, 516, 1366
-212, 851, 1614
-,-,-
265, 516, 484
349, 564, 193
265, 713, 29
203, 946, 179
155, 1074, 467
155, 1074, 467
63, 1011, 422
70, 975, 253
45, 882, 192
-53, 641, 83
-53, 641, 83
-181, 296, 127
-381, -236, 360
-548, -744, 719
-665, -1100, 1134
-745, -1404, 1355
-762, -1546, 1471
-782, -1607, 1472
-877, -1626, 1486
